t,d,p,c,a
X-Men Blue Vol. 3: Cross Time Capers (Trade Paperback),2018,15.99,112,Cullen Bunn
Point One (2011) #1 (Bradshaw Inked Variant),2011,5.99,64,others
Point One (2011) #1 (Bradshaw Variant),2011,5.99,64,others
X-Men Legacy (2008) #250,2011,4.99,64,Mike Carey
X-Men: Earth's Mutant Heroes (2010) #1,2011,4.99,64,others
X-Men: Grand Design (2017) #2,2018,5.99,48,Jeph York
Uncanny X-Men (2011) #1,2011,4.99,48,Kieron Gillen
X-Men Spotlight (2011) #1,2011,3.99,48,others
Uncanny X-Men (1963) #534.1,2011,3.99,48,Kieron Gillen
X-Men: Grand Design (2017) #1,2017,5.99,48,Jeph York
True Believers: Wolverine - Fatal Attractions (2018) #1,2018,1,48,others
X-Treme X-Men (2001) #13,2002,0,44,others
Uncanny X-Men Annual (2016) #1,2016,4.99,40,Cullen Bunn
Age of X: Universe (2011) #2,2011,3.99,40,others
X-Men: Blue (2017) #1,2017,4.99,40,Cullen Bunn
Uncanny X-Men (1963) #526,2010,3.99,40,others
X-Men (2010) #1,2010,3.99,40,others
X-Men: Blue (2017) #25,2018,4.99,40,Cullen Bunn
Uncanny X-Men (1963) #522,2010,3.99,40,Matt Fraction
X-Treme X-Men: The Savage Land (2001) #4,2002,0,36,others
X-Men (1991) #111,2001,0,36,others
X-Men (1991) #110,2001,0,36,others
Black Panther (1998) #28,2001,0,36,others
Uncanny X-Men (1963) #380,2000,2.99,36,others
New X-Men (2001) #132,2002,0,36,others
New X-Men (2001) #115,2001,0,36,others
X-Men (1991) #99,2000,1.99,36,others
Magneto (2014) #10,2014,3.99,32,Cullen Bunn
Magneto (2014) #9,2014,3.99,32,Cullen Bunn
X-Men Legacy (2008) #239,2010,2.99,32,Jeph York
X-Men Legacy (2008) #240,2010,2.99,32,Jeph York
X-Men Legacy (2008) #241,2010,2.99,32,Jeph York
X-Men Legacy (2008) #242,2010,2.99,32,Mike Carey
X-Men Legacy (2008) #243,2010,2.99,32,Mike Carey
Avengers: The Children's Crusade (2010) #4,2011,3.99,32,others
Magneto (2010) #1,2011,2.99,32,others
X-Men Legacy (2008) #244,2011,2.99,32,Mike Carey
Uncanny X-Men (2016) #19,2017,3.99,32,Cullen Bunn
Wolverine (2010) #6,2011,3.99,32,others
Uncanny X-Men (2016) #14,2016,3.99,32,Cullen Bunn
Civil War II: X-Men (2016) #4,2016,3.99,32,Cullen Bunn
X-Men Legacy (2008) #246,2011,2.99,32,Mike Carey
Wolverine (2010) #7 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT),2011,3.99,32,others
Uncanny X-Men (2016) #13,2016,3.99,32,Cullen Bunn
X-Men Legacy (2008) #247,2011,2.99,32,Mike Carey
Uncanny X-Men (1963) #535,2011,3.99,32,Kieron Gillen
Uncanny X-Men (2016) #12,2016,3.99,32,Cullen Bunn
Civil War II: X-Men (2016) #2,2016,3.99,32,Cullen Bunn
Uncanny X-Men (1963) #536,2011,3.99,32,Kieron Gillen
Uncanny X-Men (2016) #9,2016,3.99,32,Cullen Bunn
Uncanny X-Force (2010) #9,2011,3.99,32,others
X-Men Legacy (2008) #248,2011,2.99,32,Mike Carey
Magneto (2014) #21,2015,3.99,32,Cullen Bunn
X-Men: Prelude to Schism (2011) #2,2011,2.99,32,others
Magneto (2014) #20,2015,3.99,32,Cullen Bunn
X-Men Legacy (2008) #249,2011,2.99,32,Mike Carey
Magneto (2014) #19,2015,3.99,32,Cullen Bunn
Uncanny X-Men (1963) #537,2011,3.99,32,Kieron Gillen
Avengers Academy (2010) #2 (2ND PRINTING VARIANT),2010,2.99,32,others
X-Men: Blue (2017) #2,2017,3.99,32,Cullen Bunn
X-Men Legacy (2008) #238,2010,2.99,32,Jeph York
Civil War: House of M (2008) #5,2009,2.99,32,others
X-Men: Blue (2017) #34,2018,3.99,32,Cullen Bunn
Extermination (2018) #2,2018,3.99,32,others
X-Men: Blue (2017) #33,2018,3.99,32,Cullen Bunn
X-Men: Blue (2017) #32,2018,3.99,32,Cullen Bunn
X-Men: Blue (2017) #31,2018,3.99,32,Cullen Bunn
X-Men: Blue (2017) #28,2018,3.99,32,Cullen Bunn
X-Men: Blue (2017) #27,2018,3.99,32,Cullen Bunn
X-Men: Blue (2017) #24,2018,3.99,32,Cullen Bunn
X-Men: Blue (2017) #23,2018,3.99,32,Cullen Bunn
Ultimate Origins (2007) #1,2008,2.99,32,Brian Michael Bendis
X-Men: Gold (2017) #14,2017,3.99,32,others
March on Ultimatum Saga (2008) #1,2008,0,32,others
Avengers Fairy Tales (2008) #4,2008,2.99,32,others
X-Men Legacy (2008) #222,2009,2.99,32,Mike Carey
Amazing Spider-Man: Renew Your Vows (2016) #7,2017,3.99,32,others
X-Men Legacy (2008) #223,2009,2.99,32,Mike Carey
Uncanny X-Men (1963) #515,2009,2.99,32,Matt Fraction
Uncanny X-Men (1963) #516,2009,2.99,32,Matt Fraction
House of M: Masters of Evil (2009) #4,2009,3.99,32,others
Uncanny X-Men (1963) #517,2009,2.99,32,Matt Fraction
Uncanny X-Men (1963) #518,2009,2.99,32,Matt Fraction
Uncanny X-Men (1963) #519,2009,2.99,32,Matt Fraction
Uncanny X-Men (1963) #520,2010,2.99,32,Matt Fraction
X-Men Legacy (2008) #232,2010,2.99,32,Mike Carey
Uncanny X-Men (1963) #521,2010,2.99,32,Matt Fraction
X-Men Legacy (2008) #233,2010,2.99,32,Mike Carey
X-Men Legacy (2008) #234,2010,2.99,32,Mike Carey
Deadpool Kills the Marvel Universe Again (2017) #5,2017,3.99,32,Cullen Bunn
X-Men (2010) #12,2011,3.99,32,others
Magneto (2014) #18,2015,3.99,32,Cullen Bunn
Uncanny X-Men (1963) #538,2011,3.99,32,Kieron Gillen
Uncanny X-Men (2011) #6,2012,3.99,32,Kieron Gillen
Uncanny X-Men (2011) #8,2012,3.99,32,Kieron Gillen
Uncanny X-Men (2011) #9,2012,3.99,32,Kieron Gillen
Uncanny X-Men (2011) #10,2012,3.99,32,Kieron Gillen
Avengers Vs. X-Men (2012) #2,2012,3.99,32,others
X-Men Legacy (2008) #274,2012,2.99,32,others
All-New X-Men (2012) #1,2012,3.99,32,Brian Michael Bendis
All-New X-Men (2012) #4,2012,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #1,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #2,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #3,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #5,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #6,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #7,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #8,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #9,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #10,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #11,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #12,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #13,2013,3.99,32,Brian Michael Bendis
Uncanny X-Men (2013) #14,2013,3.99,32,Brian Michael Bendis
Magneto (2014) #1,2014,3.99,32,Cullen Bunn
Magneto (2014) #1 (Cassaday Variant),2014,3.99,32,Cullen Bunn
Magneto (2014) #2,2014,3.99,32,Cullen Bunn
Magneto (2014) #3,2014,3.99,32,Cullen Bunn
Magneto (2014) #4,2014,3.99,32,Cullen Bunn
Magneto (2014) #5,2014,3.99,32,Cullen Bunn
Magneto (2014) #6,2014,3.99,32,Cullen Bunn
Magneto (2014) #7,2014,3.99,32,Cullen Bunn
Magneto (2014) #8,2014,3.99,32,Cullen Bunn
Uncanny X-Men (2011) #7,2012,3.99,32,Kieron Gillen
Uncanny X-Men (2011) #5,2012,3.99,32,Kieron Gillen
X-Men: Prelude to Schism (2011) #3,2011,2.99,32,others
Uncanny X-Men (2011) #4,2012,3.99,32,Kieron Gillen
X-Men (2010) #13,2011,3.99,32,others
Magneto (2014) #17,2015,3.99,32,Cullen Bunn
X-Men Legacy (2008) #251,2011,2.99,32,Mike Carey
Vengeance (2011) #1 (Villain Variant),2011,3.99,32,others
Vengeance (2011) #1,2011,3.99,32,others
Uncanny X-Men (1963) #541,2011,3.99,32,Kieron Gillen
Magneto (2014) #16,2015,3.99,32,Cullen Bunn
Magneto (2014) #15,2015,3.99,32,Cullen Bunn
X-Men Legacy (2008) #253,2011,2.99,32,Mike Carey
New Mutants (2009) #29,2011,2.99,32,others
Uncanny X-Men (1963) #542,2011,3.99,32,Kieron Gillen
X-Men: Schism (2011) #3,2011,3.99,32,others
X-Men Legacy (2008) #254,2011,2.99,32,Mike Carey
X-Men (2010) #16,2011,3.99,32,others
X-Men Legacy (2008) #255,2011,2.99,32,Mike Carey
Uncanny X-Men (1963) #543 (Architect Sketch Variant),2011,3.99,32,Kieron Gillen
Uncanny X-Men (1963) #543 (Architect Variant),2011,3.99,32,Kieron Gillen
X-Men Legacy (2008) #256,2011,2.99,32,Mike Carey
X-Men (2010) #16 (2nd Printing Variant),2011,3.99,32,others
Generation Hope (2010) #10 (2nd Printing Variant),2011,2.99,32,Kieron Gillen
X-Men (2010) #19,2011,3.99,32,others
Magneto (2014) #14,2015,3.99,32,Cullen Bunn
Uncanny X-Men (2013) #28,2014,3.99,32,Brian Michael Bendis
Magneto (2014) #12,2014,3.99,32,Cullen Bunn
Magneto (2014) #11,2014,3.99,32,Cullen Bunn
Avengers Academy (2010) #22,2011,2.99,32,others
Uncanny X-Men (2011) #3,2011,3.99,32,Kieron Gillen
X-Men Legacy (2008) #260,2011,2.99,32,Mike Carey
X-Men Legacy (2008) #258,2011,2.99,32,Mike Carey
X-Men: Worst X-Man Ever (2016) #4,2016,0,20,others
