t,d,p,c,a
Thanos (2016) #14,2017,3.99,32,Donny Cates
Thanos (2016) #15,2018,3.99,32,Donny Cates
Thanos (2016) #16,2018,3.99,32,Donny Cates
Legendary Star-Lord (2014) #5,2014,3.99,32,others
Thanos (2016) #17,2018,3.99,32,Donny Cates
True Believers: Thanos the First (2018) #1,2018,1,32,others
True Believers: Avengers Vs. Thanos (2018) #1,2018,1,32,others
True Believers: Thanos Rising (2018) #1,2018,1,32,others
Thanos (2016) #18,2018,3.99,32,Donny Cates
True Believers: Rebirth of Thanos (2018) #1,2018,1,32,Jim Starlin
Cosmic Ghost Rider (2018) #3,2018,3.99,32,Donny Cates
Guardians of the Galaxy (2019) #2,2019,3.99,32,Donny Cates
True Believers: Avengers - Thanos & Gamora (2019) #1,2019,1,32,Jim Starlin
Thanos (2019) #2,2019,3.99,32,others
Thanos (2019) #3,2019,3.99,32,others
Thanos (2019) #4,2019,3.99,32,others
Thanos (2019) #5,2019,3.99,32,others
Thanos (2016) #7,2017,3.99,32,Jeff Lemire
The Thanos Imperative (2010) #2,2010,3.99,32,Andy Lanning
The Thanos Imperative (2010) #3,2010,3.99,32,Andy Lanning
Avengers & the Infinity Gauntlet (2010) #1,2010,2.99,32,others
Guardians of the Galaxy (2013) #20,2014,3.99,32,others
Legendary Star-Lord (2014) #4,2014,3.99,32,others
Guardians of the Galaxy (2013) #19,2014,3.99,32,others
Guardians of the Galaxy (2013) #18,2014,3.99,32,others
Legendary Star-Lord (2014) #9,2015,3.99,32,others
Legendary Star-Lord (2014) #10,2015,3.99,32,others
Ultimates (2015) #8,2016,3.99,32,others
Ultimates (2015) #11,2016,3.99,32,others
Thanos Rising (2013) #5,2013,3.99,32,others
Thanos (2019) #6,2019,3.99,32,others
Thanos Rising (2013) #4,2013,3.99,32,others
Thanos Rising (2013) #3,2013,3.99,32,others
Thanos Rising (2013) #2,2013,3.99,32,others
Thanos Rising (2013) #1,2013,3.99,32,others
Avengers Assemble (2012) #8,2012,3.99,32,others
Avengers Assemble (2012) #3,2012,3.99,32,others
Thanos (2016) #2,2016,3.99,32,Jeff Lemire
Thanos (2016) #3,2017,3.99,32,Jeff Lemire
Thanos (2016) #4,2017,3.99,32,Jeff Lemire
Thanos (2016) #5,2017,3.99,32,Jeff Lemire
Thanos (2016) #6,2017,3.99,32,Jeff Lemire
Avengers & the Infinity Gauntlet (2010) #4,2010,2.99,32,others
The Thanos Imperative (2010) #6,2010,3.99,32,Andy Lanning
Avengers & the Infinity Gauntlet (2010) #3,2010,2.99,32,others
The Thanos Imperative (2010) #5,2010,3.99,32,Andy Lanning
Avengers & the Infinity Gauntlet (2010) #2,2010,2.99,32,others
The Thanos Imperative (2010) #4,2010,3.99,32,Andy Lanning
Thanos (2016) #1,2016,3.99,32,Jeff Lemire
